family,product_name,product_slug,product_url,fetched_at,cpu,ram,base_storage,snapshots,port,base_monthly_price,cpu_count,ram_gb,storage_primary_gb,storage_primary_type,port_speed_mbps,1m_effective_monthly,1m_setup_fee,1m_total,3m_effective_monthly,3m_setup_fee,3m_total,6m_effective_monthly,6m_setup_fee,6m_total,6m_discount,12m_effective_monthly,12m_setup_fee,12m_total,12m_discount
Cloud VPS,Cloud VPS 4,cloud-vps-core-4,https://contabo.com/en/vps/cloud-vps-core-4/,2026-08-05T03:36:31.588Z,4 vCPU Cores,8 GB RAM,100 GB SSD,1 Snapshot,200 Mbit/s Port,5.5,4,8,100,SSD,200,5.5,0,5.5,5.5,0,16.5,5.5,0,33,0,4.68,0,56.1,9.9
Cloud VPS,Cloud VPS 6,cloud-vps-core-6,https://contabo.com/en/vps/cloud-vps-core-6/,2026-08-05T03:36:35.988Z,6 vCPU Cores,12 GB RAM,200 GB SSD,2 Snapshots,300 Mbit/s Port,7.5,6,12,200,SSD,300,7.5,0,7.5,7.5,0,22.5,7.5,0,45,0,6.38,0,76.5,13.5
Cloud VPS,Cloud VPS 8,cloud-vps-core-8,https://contabo.com/en/vps/cloud-vps-core-8/,2026-08-05T03:36:17.046Z,8 vCPU Cores,24 GB RAM,300 GB SSD,3 Snapshots,600 Mbit/s Port,14,8,24,300,SSD,600,14,0,14,14,0,42,14,0,84,0,11.9,0,142.8,25.2
Cloud VPS,Cloud VPS 12,cloud-vps-core-12,https://contabo.com/en/vps/cloud-vps-core-12/,2026-08-05T03:36:32.059Z,12 vCPU Cores,48 GB RAM,400 GB SSD,3 Snapshots,800 Mbit/s Port,25,12,48,400,SSD,800,25,0,25,25,0,75,25,0,150,0,21.25,0,255,45
Cloud VPS,Cloud VPS 16,cloud-vps-core-16,https://contabo.com/en/vps/cloud-vps-core-16/,2026-08-05T03:36:35.588Z,16 vCPU Cores,64 GB RAM,500 GB SSD,3 Snapshots,1 Gbit/s Port,37,16,64,500,SSD,1000,37,0,37,37,0,111,37,0,222,0,31.45,0,377.4,66.6
Cloud VPS,Cloud VPS 18,cloud-vps-core-18,https://contabo.com/en/vps/cloud-vps-core-18/,2026-08-05T03:36:14.924Z,18 vCPU Cores,96 GB RAM,600 GB SSD,3 Snapshots,1 Gbit/s Port,49,18,96,600,SSD,1000,49,0,49,49,0,147,49,0,294,0,41.65,0,499.8,88.2
Cloud VPS,Cloud VPS Plus 4,cloud-vps-plus-4,https://contabo.com/en/vps/cloud-vps-plus-4/,2026-08-05T03:36:32.437Z,4 vCPU Cores,8 GB RAM,150 GB NVMe,5 Snapshots,500 Mbit/s Port,13.5,4,8,150,NVMe,500,13.5,0,13.5,13.5,0,40.5,13.5,0,81,0,11.48,0,137.7,24.3
Cloud VPS,Cloud VPS Plus 6,cloud-vps-plus-6,https://contabo.com/en/vps/cloud-vps-plus-6/,2026-08-05T03:36:31.793Z,6 vCPU Cores,12 GB RAM,300 GB NVMe,5 Snapshots,500 Mbit/s Port,19,6,12,300,NVMe,500,19,0,19,19,0,57,19,0,114,0,16.15,0,193.8,34.2
Cloud VPS,Cloud VPS Plus 8,cloud-vps-plus-8,https://contabo.com/en/vps/cloud-vps-plus-8/,2026-08-05T03:36:15.544Z,8 vCPU Cores,24 GB RAM,450 GB NVMe,5 Snapshots,1 Gbit/s Port,35,8,24,450,NVMe,1000,35,0,35,35,0,105,35,0,210,0,29.75,0,357,63
Cloud VPS,Cloud VPS Plus 12,cloud-vps-plus-12,https://contabo.com/en/vps/cloud-vps-plus-12/,2026-08-05T03:36:30.045Z,12 vCPU Cores,48 GB RAM,600 GB NVMe,5 Snapshots,1 Gbit/s Port,59,12,48,600,NVMe,1000,59,0,59,59,0,177,59,0,354,0,50.15,0,601.8,106.2
Cloud VPS,Cloud VPS Plus 16,cloud-vps-plus-16,https://contabo.com/en/vps/cloud-vps-plus-16/,2026-08-05T03:36:17.350Z,16 vCPU Cores,64 GB RAM,750 GB NVMe,5 Snapshots,1 Gbit/s Port,79,16,64,750,NVMe,1000,79,0,79,79,0,237,79,0,474,0,67.15,0,805.8,142.2
Cloud VPS,Cloud VPS Plus 18,cloud-vps-plus-18,https://contabo.com/en/vps/cloud-vps-plus-18/,2026-08-05T03:36:29.165Z,18 vCPU Cores,96 GB RAM,900 GB NVMe,5 Snapshots,1 Gbit/s Port,99,18,96,900,NVMe,1000,99,0,99,99,0,297,99,0,594,0,84.15,0,1009.8,178.2
Storage VPS,Storage VPS 10,storage-vps-10,https://contabo.com/en/storage-vps/storage-vps-10/,2026-08-05T03:36:18.397Z,2 vCPU Cores,4 GB RAM,300 GB SSD,,200 Mbit/s Port,5.5,2,4,300,SSD,200,5.5,0,5.5,5.5,0,16.5,4.95,0,29.7,3.3,4.68,0,56.1,9.9
Storage VPS,Storage VPS 20,storage-vps-20,https://contabo.com/en/storage-vps/storage-vps-20/,2026-08-05T03:36:29.380Z,3 vCPU Cores,8 GB RAM,400 GB SSD,,300 Mbit/s Port,7.5,3,8,400,SSD,300,7.5,0,7.5,7.5,0,22.5,6.75,0,40.5,4.5,6.38,0,76.5,13.5
Storage VPS,Storage VPS 30,storage-vps-30,https://contabo.com/en/storage-vps/storage-vps-30/,2026-08-05T03:36:18.488Z,6 vCPU Cores,18 GB RAM,1 TB SSD,,600 Mbit/s Port,14,6,18,1000,SSD,600,14,0,14,14,0,42,12.6,0,75.6,8.4,11.9,0,142.8,25.2
Storage VPS,Storage VPS 40,storage-vps-40,https://contabo.com/en/storage-vps/storage-vps-40/,2026-08-05T03:36:26.951Z,8 vCPU Cores,30 GB RAM,1.2 TB SSD,,800 Mbit/s Port,25,8,30,1200,SSD,800,25,0,25,25,0,75,22.5,0,135,15,21.25,0,255,45
Storage VPS,Storage VPS 50,storage-vps-50,https://contabo.com/en/storage-vps/storage-vps-50/,2026-08-05T03:36:19.915Z,14 vCPU Cores,50 GB RAM,1.4 TB SSD,,1 Gbit/s Port,37,14,50,1400,SSD,1000,37,0,37,37,0,111,33.3,0,199.8,22.2,31.45,0,377.4,66.6
Cloud VDS,Cloud VDS S,vds-s,https://contabo.com/en/vds/vds-s/,2026-08-05T03:36:21.577Z,6 Virtual Cores,24 GB RAM,180 GB NVMe,,250 Mbit/s Port,39,,24,180,NVMe,250,39,0,39,39,0,117,39,0,234,0,33.15,0,397.8,70.2
Cloud VDS,Cloud VDS M,vds-m,https://contabo.com/en/vds/vds-m/,2026-08-05T03:36:19.604Z,8 Virtual Cores,32 GB RAM,240 GB NVMe,,500 Mbit/s Port,49,,32,240,NVMe,500,49,0,49,49,0,147,49,0,294,0,41.65,0,499.8,88.2
Cloud VDS,Cloud VDS L,vds-l,https://contabo.com/en/vds/vds-l/,2026-08-05T03:36:29.091Z,12 Virtual Cores,48 GB RAM,360 GB NVMe,,750 Mbit/s Port,69,,48,360,NVMe,750,69,0,69,69,0,207,69,0,414,0,58.65,0,703.8,124.2
Cloud VDS,Cloud VDS XL,vds-xl,https://contabo.com/en/vds/vds-xl/,2026-08-05T03:36:21.590Z,16 Virtual Cores,64 GB RAM,480 GB NVMe,,1 Gbit/s Port,94,,64,480,NVMe,1000,94,0,94,94,0,282,94,0,564,0,79.9,0,958.8,169.2
Cloud VDS,Cloud VDS XXL,vds-xxl,https://contabo.com/en/vds/vds-xxl/,2026-08-05T03:36:22.292Z,24 Virtual Cores,96 GB RAM,720 GB NVMe,,1 Gbit/s Port,139,,96,720,NVMe,1000,139,0,139,139,0,417,139,0,834,0,118.15,0,1417.8,250.2
Dedicated Server,AMD Turin 32 Cores,ds-40,https://contabo.com/en/dedicated-servers/ds-40/,2026-08-05T03:36:22.286Z,32 x 3.55 GHz (4.20 max),128 GB RAM,2 x 1 TB NVMe,,1 Gbit/s Port,399,32,128,2000,NVMe,1000,399,0,399,379.05,0,1137.15,399,0,2394,0,359.1,0,4309.2,478.8
Dedicated Server,AMD Ryzen 12 Cores,amd-ryzen-12-cores,https://contabo.com/en/dedicated-servers/amd-ryzen-12-cores/,2026-08-05T03:36:24.155Z,12 x 3.70 GHz,64 GB RAM,1 TB NVMe,,1 Gbit/s Port,149,12,64,1000,NVMe,1000,149,0,149,141.55,0,424.65,149,0,894,0,134.1,0,1609.2,178.8
Dedicated Server,AMD Turin 64 Cores,ds-50,https://contabo.com/en/dedicated-servers/ds-50/,2026-08-05T03:36:24.312Z,64 x 3.20 GHz (4.20 max),192 GB RAM,2 x 1 TB NVMe,,1 Gbit/s Port,699,64,192,2000,NVMe,1000,699,0,699,664.05,0,1992.15,699,0,4194,0,629.1,0,7549.2,838.8
