plan_sku,plan_slug,plan_family,plan_name,dimension,category,option_label,monthly_price_delta,setup_fee_delta,region_group,country,country_code,subregion,is_default,currency
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Data Protection,Auto Backup,Auto Backup,1.65,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Data Protection,None,No Data Protection,0,0,,,,,true,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Coolify Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Docker,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Dokploy Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,GitLab Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Hermes Agent Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,LAMP,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,n8n Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Nextcloud Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,OpenClaw Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,WireGuard Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Apps,Zeroclaw Server,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Blockchain,Flux Node,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Blockchain,Horizen Node,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,Blockchain,IPFS Node,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,AlmaLinux 10,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,AlmaLinux 9,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,Arch Linux,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,Debian 12,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,Debian 13,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,FreeBSD 12.2,0,0,,,,,,EUR
cloud-vps-core-4,cloud-vps-core-4,Cloud VPS,Cloud VPS 4,Image,OS,Rocky Linux 10,0,0,,,,,,EUR
